filename,religion,religious_practice,lifestyle,social_class,location_hint,education_hint,personality_hint,fashion_style,age_range,bio_hint,confidence
"female_batch4_100.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Modest","22-26","Family-oriented woman seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_101.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","School level or Graduate","Modest","Modest","18-22","Practicing Muslim woman seeking a respectful partner who values family and tradition.","High"
"female_batch4_102.png","Muslim","Moderate","Moderate","Upper-middle class","Likely Bangladesh or NRB","Graduate or Postgraduate","Confident","Mixed","22-26","Bengali professional who values family, enjoys home comfort, and seeks a respectful partner with modern values.","Medium"
"female_batch4_103.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Family-oriented woman seeking a respectful and caring partner for a meaningful relationship.","Medium"
"female_batch4_104.png","Unknown","Unknown","Moderate","Middle class","Could be NRB","Graduate","Confident","Smart-casual","22-26","Friendly and approachable person who enjoys life with a modern outlook","Medium"
"female_batch4_105.png","Muslim or Hindu","Moderate","Moderate","Upper-middle class","Could be NRB","Graduate or Postgraduate","Confident","Mixed","22-26","Cheerful and warm-hearted professional who enjoys spending time in modern settings and values meaningful conversations.","Medium"
"female_batch4_106.png","Unknown","Moderate or Unknown","Moderate","Middle class or Upper-middle class","Likely Bangladesh","Graduate or Postgraduate","Confident or Modest","Smart-casual","22-26","Educated, modern-thinking woman who values balance between tradition and contemporary lifestyle.","Medium"
"female_batch4_107.png","Hindu","Moderate","Traditional","Upper-middle class","Likely abroad","Graduate","Confident","Traditional","26-30","Elegant and cultured woman who values tradition while embracing modern perspectives; enjoys cultural events and meaningful connections.","Medium"
"female_batch4_108.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Thoughtful and well-groomed professional seeking someone who values family and personal growth.","Medium"
"female_batch4_109.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Simple, family-oriented girl seeking a respectful partner for a meaningful relationship.","Medium"
"female_batch4_110.png","Unknown","Unknown","Moderate","Middle class","Likely abroad","Graduate","Confident","Modest","26-30","Friendly and approachable professional who enjoys outdoor activities and maintaining a balanced lifestyle.","Medium"
"female_batch4_111.png","Unknown","Unknown","Moderate","Middle class","Bangladesh","Graduate","Modest","Smart-casual","22-26","Seeking a genuine connection with someone who values sincerity and mutual respect","Low"
"female_batch4_112.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Seeking a respectful partner who values family and traditional values","Medium"
"female_batch4_113.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Simple, family-oriented woman who values tradition and seeks a respectful partner for a meaningful relationship","Medium"
"female_batch4_114.png","Hindu","Moderate","Moderate","Upper-middle class","Bangladesh or Could be NRB","Graduate or Postgraduate","Confident","Mixed","22-26","Confident and elegant individual who appreciates both traditional values and modern sensibilities, seeking a meaningful connection.","Medium"
"female_batch4_115.png","Muslim or Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Mixed","22-26","Bengali woman who values education and culture, enjoys traditional attire with modern sensibilities.","Medium"
"female_batch4_116.png","Unknown","Moderate or Unknown","Moderate","Middle class or Upper-middle class","Likely abroad or Could be NRB","Graduate or Professional","Confident or Outgoing","Smart-casual or Mixed","22-26","Young professional with contemporary lifestyle, enjoys smart-casual fashion and modern aesthetics","Medium"
"female_batch4_117.png","Muslim","Moderate","Moderate","Middle class","Likely abroad","Graduate","Confident","Mixed","22-26","Adventure lover who enjoys exploring new places while maintaining cultural values","Medium"
"female_batch4_118.png","Unknown","Unknown","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","22-26","Fun-loving and easygoing person who enjoys good company and indoor plants","Medium"
"female_batch4_119.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Grounded and family-oriented woman seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_120.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Grounded individual who appreciates cultural celebrations and traditional values with a modern perspective","Medium"
"female_batch4_121.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Traditional values with a modern outlook, enjoys cultural celebrations and family gatherings","Medium"
"female_batch4_122.png","Hindu","Conservative","Traditional","Upper-middle class","Bangladesh","Graduate","Confident","Traditional","26-30","Traditional values-oriented professional woman seeking a like-minded partner for a meaningful relationship","High"
"female_batch4_123.png","Unknown","Unknown","Moderate","Middle class","Bangladesh","School level or Graduate","Modest","Smart-casual","18-22","Simple, approachable young woman seeking a genuine connection with shared values","Medium"
"female_batch4_124.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate or Professional","Confident","Traditional","22-26","Proud of my heritage, looking for someone who values tradition and family","Medium"
"female_batch4_125.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate or Unknown","Modest","Traditional","22-26","Traditional values, enjoys cultural celebrations and family gatherings","Medium"
"female_batch4_126.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Educated professional seeking a respectful and caring partner for a meaningful relationship.","Medium"
"female_batch4_127.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","School level","Modest","Traditional","22-26","Family-oriented person who values traditional values and simple living.","Medium"
"female_batch4_128.png","Unknown","Unknown","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Warm-hearted and approachable person who enjoys simple moments and meaningful conversations","Medium"
"female_batch4_129.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Traditional values with grace and cultural pride, seeking a respectful partner for life.","Medium"
"female_batch4_130.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Simple, humble girl who values family and traditions, looking for a respectful partner.","Medium"
"female_batch4_131.png","Unknown","Unknown","Moderate","Middle class","Bangladesh or Could be NRB","Graduate or Professional","Confident","Smart-casual","22-26","Friendly and approachable professional who enjoys modern living spaces and indoor greenery","Medium"
"female_batch4_132.png","Hindu","Moderate","Moderate","Affluent","Likely abroad","Graduate or Postgraduate","Confident","Traditional","26-30","Cultured woman who appreciates beauty and tradition, seeking a thoughtful partner","Medium"
"female_batch4_133.png","Unknown","Unknown","Moderate","Middle class","Likely abroad","Graduate or Professional","Confident","Smart-casual","22-26","Professional with a warm personality, enjoys indoor plants and maintaining a positive lifestyle","Medium"
"female_batch4_134.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Family-oriented woman seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_135.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","26-30","Professional woman rooted in traditions, seeking a respectful and understanding partner.","High"
"female_batch4_136.png","Unknown","Moderate or Unknown","Moderate","Middle class or Upper-middle class","Bangladesh or Could be NRB","Graduate or Postgraduate","Confident or Outgoing","Smart-casual or Mixed","22-26","Friendly and approachable person who enjoys outdoor activities and values meaningful connections.","Medium"
"female_batch4_137.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Friendly and approachable, enjoys evening outings and keeping up with modern lifestyle while maintaining cultural values.","Medium"
"female_batch4_138.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","26-30","Warm-hearted and nature-loving individual who enjoys peaceful moments by the water and values meaningful connections.","Medium"
"female_batch4_139.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","22-26","Friendly and approachable girl with a passion for life's simple pleasures","Medium"
"female_batch4_140.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Family-oriented girl who values traditional values and seeks a respectful partner for a meaningful relationship.","Medium"
"female_batch4_141.png","Muslim","Conservative","Traditional","Upper-middle class","Bangladesh or NRB","Graduate","Confident","Traditional","22-26","Elegant and traditional-minded, seeking a respectful life partner who values family and cultural values.","High"
"female_batch4_142.png","Muslim","Conservative","Traditional","Upper-middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Compassionate and family-oriented woman who values tradition and seeks a respectful partner for a meaningful relationship.","High"
"female_batch4_143.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Simple, family-oriented woman seeking a respectful and caring life partner.","Medium"
"female_batch4_144.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Traditional values, seeking a family-oriented partner for a meaningful relationship","Medium"
"female_batch4_145.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Professional woman who values tradition and modern sensibilities equally","Medium"
"female_batch4_146.png","Unknown","Unknown","Moderate","Middle class","Could be NRB","Graduate","Confident","Smart-casual","22-26","Thoughtful and genuine person who enjoys meaningful conversations and simple pleasures in life","Medium"
"female_batch4_147.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Confident and modern woman seeking a genuine connection with shared values and mutual respect.","Medium"
"female_batch4_148.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","26-30","Family-oriented woman seeking a respectful and caring life partner who values traditional values.","Medium"
"female_batch4_149.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","School level or Graduate","Modest","Traditional","22-26","Simple, family-oriented woman seeking a respectful partner for a committed relationship.","Medium"
"female_batch4_150.png","Hindu","Moderate","Traditional","Upper-middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Cheerful and family-oriented woman seeking a compatible partner who values tradition and meaningful relationships.","High"
"female_batch4_151.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Family-oriented woman seeking a respectful, honest partner for a meaningful relationship","Medium"
"female_batch4_152.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Traditional values with modern outlook, enjoys cultural beauty and meaningful connections","Medium"
"female_batch4_153.png","Unknown","Unknown","Moderate","Middle class or Upper-middle class","Likely abroad or Could be NRB","Graduate or Professional","Confident","Smart-casual","22-26","Travel enthusiast who loves exploring beautiful places and creating memories.","Medium"
"female_batch4_154.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Modest","22-26","Homebody who loves plants and gardening, seeking a caring partner with traditional values.","Medium"
"female_batch4_155.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Friendly and approachable, enjoys evening gatherings and spending quality time with loved ones","Medium"
"female_batch4_156.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Modest","26-30","Simple, family-oriented woman seeking a respectful partner for a meaningful relationship.","Medium"
"female_batch4_157.png","Unknown","Unknown","Moderate","Middle class","Bangladesh","Graduate","Outgoing","Smart-casual","22-26","Cheerful and friendly person who enjoys celebrations and good company","Medium"
"female_batch4_158.png","Muslim","Moderate","Moderate","Middle class","Bangladesh or NRB","Graduate","Confident","Smart-casual","22-26","Passionate about personal growth and balanced living, seeking someone with similar values and ambitions.","Medium"
"female_batch4_159.png","Hindu","Conservative","Traditional","Upper-middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Traditional values with appreciation for cultural heritage and family-oriented lifestyle","Medium"
"female_batch4_160.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Modest","22-26","Caring and family-oriented woman seeking a respectful partner who values tradition and commitment","High"
"female_batch4_161.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Family-oriented individual who values tradition and seeks a respectful life partner","Medium"
"female_batch4_162.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Cultured and traditional-minded woman seeking a respectful partner who values family and cultural values","Medium"
"female_batch4_163.png","Muslim","Moderate","Moderate","Upper-middle class","Likely abroad","Professional","Confident","Smart-casual","26-30","Professional woman working in corporate sector, seeking a confident and family-oriented partner","High"
"female_batch4_164.png","Unknown","Unknown","Moderate","Middle class or Upper-middle class","Could be NRB or Likely abroad","Graduate or Professional","Confident and Outgoing","Smart-casual","22-26","Animal lover with a warm heart, seeking someone who values compassion and shared interests","Medium"
"female_batch4_165.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Cultured and family-oriented woman seeking a respectful partner who values tradition and commitment","Medium"
"female_batch4_166.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","School level or Graduate","Modest","Traditional","22-26","Simple, family-oriented person looking for a genuine connection with shared values","Medium"
"female_batch4_167.png","Muslim or Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Warm-hearted and grounded, seeking a genuine connection with shared values and mutual respect.","Medium"
"female_batch4_168.png","Muslim","Conservative","Traditional","Affluent","Could be NRB","Graduate or Postgraduate","Modest","Traditional","22-26","Family-oriented individual valuing tradition and cultural heritage, seeking a like-minded partner for marriage.","High"
"female_batch4_169.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Simple, family-oriented woman seeking a respectful partner for a meaningful relationship.","Medium"
"female_batch4_170.png","Muslim or Hindu","Moderate","Moderate","Middle class or Upper-middle class","Bangladesh or Likely abroad","Graduate or Postgraduate","Confident or Outgoing","Mixed","22-26","Optimistic and thoughtful individual who enjoys quiet moments by the window with a good outlook on life.","Medium"
"female_batch4_171.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Warm-hearted and cheerful, enjoying life's simple pleasures and good company.","Medium"
"female_batch4_172.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Modern yet grounded, looking for someone who values both tradition and personal growth","Medium"
"female_batch4_173.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Homely girl with traditional values, seeking a caring and respectful life partner","Medium"
"female_batch4_174.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Grounded woman who values traditions and enjoys peaceful evening walks by the riverside","Medium"
"female_batch4_175.png","Muslim or Hindu","Moderate","Moderate","Middle class or Upper-middle class","Bangladesh or Could be NRB","Graduate or Postgraduate","Confident or Modest","Smart-casual or Mixed","22-26","A friendly and approachable person seeking a meaningful connection with someone who values family and mutual respect.","Medium"
"female_batch4_176.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Independent woman with traditional values, seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_177.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Warm-hearted and family-oriented, seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_178.png","Unknown","Unknown","Moderate","Middle class","Could be NRB","Graduate","Confident","Traditional","22-26","Modern, thoughtful, and genuine - looking for someone who appreciates both tradition and personal growth","Medium"
"female_batch4_179.png","Hindu","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Modern yet rooted in traditions, looking for someone who values both cultural values and contemporary outlook.","Medium"
"female_batch4_180.png","Muslim","Moderate","Moderate","Middle class or Upper-middle class","Bangladesh or Likely abroad","Graduate or Professional","Confident","Mixed","22-26","Elegant and poised, seeking someone respectful and ambitious for a meaningful relationship.","Medium"
"female_batch4_181.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Traditional values with modern outlook, seeking a respectful and understanding life partner.","Medium"
"female_batch4_182.png","Hindu","Moderate","Moderate","Upper-middle class","Likely abroad","Graduate","Confident","Mixed","22-26","Cultured and confident professional who blends traditional values with modern sensibilities","Medium"
"female_batch4_183.png","Muslim","Moderate","Moderate","Upper-middle class","Likely abroad","Graduate","Confident","Mixed","22-26","Educated, modern woman who values cultural heritage while embracing contemporary lifestyle","Medium"
"female_batch4_184.png","Unknown","Unknown","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","22-26","Adventure-loving soul who enjoys exploring nature and spending time outdoors with a warm smile and genuine heart.","Medium"
"female_batch4_185.png","Hindu","Moderate","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Traditional values with a modern outlook, seeking a compatible life partner","Medium"
"female_batch4_186.png","Muslim","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Modest","22-26","Homebody who enjoys quiet moments in nature and values simplicity and grace","Medium"
"female_batch4_187.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","22-26","Confident young professional with a warm personality, looking for someone genuine and respectful","Medium"
"female_batch4_188.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Proud of my cultural roots, seeking a respectful partner who values tradition and family values.","Medium"
"female_batch4_189.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Bengali woman who values tradition and family, looking for a respectful partner to build a meaningful life together.","High"
"female_batch4_190.png","Unknown","Unknown","Moderate","Upper-middle class","Likely abroad","Graduate or Postgraduate","Confident","Smart-casual","26-30","Professional woman with modern sensibilities, seeking a partner who values career growth and urban lifestyle.","Medium"
"female_batch4_191.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Proud of my cultural roots, looking for someone who values family and tradition.","Medium"
"female_batch4_192.png","Unknown","Moderate","Moderate","Middle class","Bangladesh","Graduate","Modest","Mixed","22-26","Thoughtful and grounded individual seeking a meaningful connection with shared values.","Medium"
"female_batch4_193.png","Hindu","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Culturally rooted, confident woman seeking a compatible partner who values tradition and mutual respect.","Medium"
"female_batch4_194.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Simple, homely girl from Bangladesh seeking a genuine life partner who values tradition and family values.","Medium"
"female_batch4_195.png","Muslim","Moderate","Moderate","Upper-middle class","Likely abroad or NRB","Graduate or Postgraduate","Confident","Smart-casual","26-30","Confident, well-dressed professional who enjoys attending social events and celebrations.","Medium"
"female_batch4_196.png","Hindu","Moderate","Traditional","Upper-middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Cultured woman who values tradition and family, enjoys festive celebrations and appreciates elegant aesthetics.","High"
"female_batch4_197.png","Unknown","Unknown","Moderate","Middle class or Upper-middle class","Likely abroad or Could be NRB","Graduate or Postgraduate","Confident or Outgoing","Smart-casual or Western","22-26","Adventurous traveler who loves exploring new cultures and making meaningful connections.","Medium"
"female_batch4_198.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Family-oriented, cultured woman who values traditional values and customs","Medium"
"female_batch4_199.png","Unknown","Moderate","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Simple, family-oriented woman seeking a respectful partner for a meaningful relationship.","Medium"
"female_batch4_200.png","Hindu","Moderate","Moderate","Middle class","Bangladesh or Likely abroad","Graduate or Postgraduate","Confident","Mixed","22-26","Thoughtful individual who enjoys blending traditional and contemporary values with a love for learning and self-expression.","Medium"
"female_batch4_201.png","Muslim","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","22-26","Music lover with a passion for learning and connecting with meaningful people","Medium"
"female_batch4_202.png","Hindu","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Educated professional with traditional values, seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_203.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","School level or Graduate","Modest","Traditional","22-26","Bengali girl from Bangladesh, values family and tradition, enjoys simple pleasures of life","Medium"
"female_batch4_204.png","Muslim","Moderate","Traditional","Upper-middle class","Bangladesh or Likely abroad","Graduate","Confident","Traditional","22-26","Educated, traditional values with modern outlook, enjoys cultural events and family time","Medium"
"female_batch4_205.png","Unknown","Unknown","Moderate","Middle class","Likely abroad","Graduate","Confident","Smart-casual","22-26","Adventure seeker who loves exploring new places and experiencing different cultures.","Medium"
"female_batch4_206.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Family-oriented woman seeking a caring partner for a meaningful relationship","High"
"female_batch4_207.png","Unknown","Moderate or Unknown","Moderate","Middle class or Upper-middle class","Could be NRB or Bangladesh","Graduate or Postgraduate","Modest or Introverted","Smart-casual or Mixed","22-26","Looking for a sincere, family-oriented partner who values mutual respect and understanding.","Medium"
"female_batch4_208.png","Muslim","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Family-oriented woman seeking a respectful partner for a meaningful relationship","Medium"
"female_batch4_209.png","Muslim","Moderate","Moderate","Upper-middle class","Likely abroad or Could be NRB","Graduate or Postgraduate","Confident","Smart-casual","22-26","Enjoys fine dining and elegant evenings out; looking for someone who appreciates good conversation and quality time.","High"
"female_batch4_210.png","Hindu","Moderate","Traditional","Upper-middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Culturally rooted woman who enjoys celebrations and values family traditions","High"
"female_batch4_211.png","Unknown","Unknown","Moderate","Middle class","Could be NRB","Graduate","Confident","Smart-casual","22-26","Enjoys leisurely moments at cozy cafes with good company and refreshing drinks","Medium"
"female_batch4_212.png","Muslim","Conservative","Traditional","Upper-middle class","Likely abroad","Graduate or Postgraduate","Confident","Modest","22-26","Cultured and well-traveled, appreciating heritage and architecture while maintaining traditional values.","Medium"
"female_batch4_213.png","Unknown","Unknown","Moderate","Middle class","Bangladesh or Could be NRB","Graduate","Confident","Smart-casual","22-26","Adventure-loving, independent spirit with a passion for outdoor activities and casual lifestyle","Medium"
"female_batch4_214.png","Hindu","Conservative","Traditional","Middle class","Bangladesh","Graduate","Modest","Traditional","22-26","Traditional woman who values family and cultural values, looking for a compatible life partner.","Medium"
"female_batch4_215.png","Unknown","Unknown","Moderate","Upper-middle class","Likely abroad","Graduate or Postgraduate","Confident","Smart-casual","22-26","Professional and approachable individual with a love for good food and casual outings","Medium"
"female_batch4_216.png","Unknown","Unknown","Moderate","Middle class","Bangladesh","Graduate","Modest","Smart-casual","22-26","Simple and genuine girl who enjoys everyday moments and believes in honest connections","Medium"
"female_batch4_217.png","Muslim or Hindu","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Smart-casual","22-26","Simple, straightforward professional looking for a sincere life partner","Medium"
"female_batch4_218.png","Muslim","Moderate","Moderate","Middle class","Bangladesh or Likely abroad","Graduate or Professional","Confident","Mixed","22-26","Confident professional woman seeking someone with shared values and genuine connection.","Medium"
"female_batch4_219.png","Hindu","Moderate","Moderate","Middle class","Bangladesh","Graduate","Confident","Mixed","22-26","Cheerful and well-groomed, enjoys celebrations and social gatherings with family and friends","Medium"
"female_batch4_220.png","Hindu","Moderate","Moderate","Upper-middle class","Bangladesh","Graduate","Confident","Traditional","22-26","Confident professional with strong communication skills and modern outlook, grounded in cultural values","Medium"
